timestamp,open,high,low,close,volume
14-01-2005,409.5132,413.9987,382.0778,383.7599,57602116
20-01-2005,384.2457,390.4132,376.8449,382.1525,66286112
28-01-2005,387.236,391.6466,372.4343,390.7869,78258005
04-02-2005,391.3476,409.2889,390.5999,400.9537,50715407
11-02-2005,401.8134,412.5783,389.4786,410.0739,29327223
18-02-2005,410.4103,413.9987,396.3189,399.5334,32282436
25-02-2005,399.5707,413.9987,396.9542,403.6076,51045729
04-03-2005,403.6823,428.5386,400.0193,427.5294,55056283
11-03-2005,429.0992,449.2086,428.3518,439.3034,52973358
18-03-2005,439.5651,444.0506,417.5869,427.3425,43097194
24-03-2005,426.1091,429.0992,403.6076,418.7083,55873768
01-04-2005,420.8761,428.9498,403.1216,421.9228,43922194
08-04-2005,422.3712,431.342,413.4754,416.5029,34576214
15-04-2005,416.5029,416.5029,393.2164,395.9825,21230729
22-04-2005,393.9267,410.2609,382.8255,408.6162,37343414
29-04-2005,404.4299,418.3344,392.5437,394.4874,53172222
06-05-2005,393.9641,411.4569,391.983,410.2609,29327590
13-05-2005,408.9152,416.5403,387.9835,400.8415,29682109
20-05-2005,400.8415,407.4201,385.3297,389.0302,34053393
27-05-2005,389.8525,403.0842,389.8525,396.9169,35796448
03-06-2005,396.9542,414.8958,391.796,413.3258,37576149
10-06-2005,417.1383,425.6231,407.2705,423.6796,39664391
17-06-2005,427.8658,454.8154,418.7456,449.1712,47982157
24-06-2005,457.5066,493.3147,457.5066,489.4275,105410648
01-07-2005,490.3992,504.6029,461.8425,478.1766,59312623
08-07-2005,479.1857,485.9138,455.3012,463.9356,44650605
15-07-2005,467.2248,500.6034,464.6832,498.3233,43209310
22-07-2005,500.8651,517.2366,491.8943,515.5919,56274032
29-07-2005,514.3211,531.7767,508.4902,525.4597,37222333
05-08-2005,521.7968,568.1455,518.1337,542.5415,124694024
12-08-2005,546.4661,552.3346,524.787,526.0578,60338400
19-08-2005,527.0297,543.1022,519.6288,527.4408,35651780
26-08-2005,530.7676,533.3091,510.7329,522.2079,41735685
02-09-2005,525.5346,547.8865,518.059,546.3541,37120867
09-09-2005,546.8027,557.4553,542.0929,554.0165,25487966
16-09-2005,556.932,573.7521,550.5779,571.472,31312354
23-09-2005,571.958,586.8344,552.4467,559.399,69204760
30-09-2005,563.66,608.1399,560.6698,593.1887,63213268
07-10-2005,592.815,605.5234,580.8539,589.7873,48488583
14-10-2005,590.5723,592.6654,569.3415,570.8366,41085468
21-10-2005,575.6211,583.6199,550.9516,575.9575,70799429
28-10-2005,586.8344,586.8344,550.989,554.1288,54829096
02-11-2005,554.6894,582.3492,552.5214,580.9288,14615783
11-11-2005,581.3772,601.1128,576.3686,594.7212,39620881
18-11-2005,596.6649,624.175,589.4882,617.1106,28686452
25-11-2005,616.7369,633.9308,610.0836,630.4172,49122445
02-12-2005,632.5851,647.3868,620.4747,627.2401,47007700
09-12-2005,627.9502,647.0131,620.1757,645.7794,67722645
16-12-2005,650.2276,653.9654,627.9502,634.6035,82440740
23-12-2005,635.7996,650.0033,627.9875,629.7443,29614153
30-12-2005,627.9502,673.5514,618.6057,665.0666,100325991
06-01-2006,667.9072,699.6411,666.487,687.6802,38421266
13-01-2006,689.2502,692.988,652.9934,661.6652,76249659
20-01-2006,662.3753,727.7497,646.0038,703.3497,247337568
27-01-2006,694.9998,711.9998,685.2998,698.5997,43709422
03-02-2006,704.9998,719.3998,695.0499,696.5999,40666364
10-02-2006,689.9999,724.9497,684.5499,719.8997,37110979
17-02-2006,718.9998,724.3997,690.1499,693.2998,31723555
24-02-2006,694.9998,707.4497,675.0998,702.2998,21494732
03-03-2006,701.9998,718.9998,695.9998,715.6997,36687867
10-03-2006,715.9997,739.3997,711.0499,732.1498,33871753
17-03-2006,725.9998,781.8997,725.9998,774.6498,29711170
24-03-2006,770.9997,793.9997,759.3998,782.2999,27836609
31-03-2006,781.9998,808.4998,781.9998,796.2498,345953842
07-04-2006,795.9998,848.8998,795.9998,832.4998,22799604
13-04-2006,830.9997,858.4997,820.9998,847.0498,27602970
21-04-2006,846.9997,999.9997,846.2997,974.2996,67196511
28-04-2006,973.9998,1012.9996,949.0997,1007.7996,45284956
05-05-2006,1020.9996,1121.9996,1020.9996,1099.4998,30900377
12-05-2006,1100.9997,1194.9997,1057.5497,1066.9497,63866711
19-05-2006,1059.9996,1091.8997,959.9996,976.5496,73598400
26-05-2006,988.9998,994.6997,805.9999,957.5996,65190715
02-06-2006,956.9998,977.9997,918.5998,957.3497,44260964
09-06-2006,958.9996,970.9997,809.9998,922.0998,84050673
16-06-2006,919.9998,943.9996,842.6497,920.7997,59546718
23-06-2006,924.0997,1017.9997,915.9997,1011.9497,45592103
30-06-2006,1007.9997,1061.9997,970.4996,1058.7496,73121088
07-07-2006,1057.9998,1099.8997,1025.9997,1031.8497,37516796
14-07-2006,1019.9996,1099.9997,1019.9996,1065.1498,42714926
21-07-2006,1061.9997,1067.9996,955.9997,967.5498,58792035
28-07-2006,966.9996,1015.0497,941.6497,980.1498,36232786
04-08-2006,979.9998,1007.4497,962.9997,967.3998,37340676
11-08-2006,965.9998,1014.9997,939.9997,1011.0997,31115194
18-08-2006,1010.9998,1073.4997,1010.9998,1055.4996,24168331
25-08-2006,1054.6997,1124.8996,1044.9996,1110.4996,33313232
01-09-2006,1109.9997,1144.8997,1106.9996,1122.1496,21221752
08-09-2006,1111.2497,1145.9496,1111.2497,1130.3497,21157833
15-09-2006,1132.6997,1143.6996,1075.1997,1140.4996,35216395
22-09-2006,1187.9997,1187.9997,1085.2496,1155.1996,29248000
29-09-2006,1150.9996,1189.8996,1150.9996,1171.0496,24864336
06-10-2006,1187.9997,1187.9997,1144.1997,1163.0496,18193819
13-10-2006,1154.9997,1195.9497,1138.1497,1190.1496,23149928
20-10-2006,1197.9996,1220.9996,1185.9997,1202.0496,26972678
23-10-2006,1203.2497,1205.5996,1192.1497,1194.1497,2285059
27-10-2006,1179.9997,1227.0997,1170.0996,1222.8496,10076579
03-11-2006,1215.0996,1298.4997,1215.0996,1286.8996,26760267
10-11-2006,1289.9996,1315.8995,1240.2997,1286.2496,38291664
17-11-2006,1285.9997,1299.9996,1254.0497,1259.1997,13648925
24-11-2006,1259.9495,1289.9996,1236.4997,1261.5496,13045720
01-12-2006,1263.2496,1279.9496,1240.9997,1260.9996,12675921
08-12-2006,1260.9996,1349.9995,1255.4996,1267.7995,18907922
15-12-2006,1266.9996,1279.9995,1180.9996,1253.4995,31568684
22-12-2006,1262.9997,1297.7997,1230.9997,1271.3496,20294741
29-12-2006,1272.0997,1302.9995,1265.2497,1270.3496,13622149
05-01-2007,1252.5496,1311.6995,1252.5496,1288.5996,10115180
12-01-2007,1287.9995,1344.9495,1264.0496,1340.0996,16111801
19-01-2007,1344.9996,1408.9997,1341.9995,1380.2497,17405192
25-01-2007,1384.9996,1391.8997,1353.9996,1369.6496,8449951
02-02-2007,1373.9996,1393.9997,1359.1997,1372.2995,10849097
09-02-2007,1379.9995,1408.9997,1373.7997,1388.2497,10070612
15-02-2007,1399.6996,1410.9995,1341.0996,1406.8997,7627587
23-02-2007,1413.9996,1444.7995,1401.2995,1412.7995,17991316
02-03-2007,1444.9996,1444.9996,1309.9997,1317.3496,31552673
09-03-2007,1299.9996,1349.9995,1249.9995,1318.4996,28015672
16-03-2007,1325.9995,1334.4996,1261.9997,1299.7996,17789120
23-03-2007,1306.9996,1419.9995,1296.9996,1379.1996,11239857
30-03-2007,1379.4996,1383.3495,1341.0996,1368.3495,9525837
